ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;TIPO;TOTAL_ELEM
"4996562";"Zona canina";"133";"PALOMERAS BAJAS";"13";"PUENTE DE VALLECAS";"OPERATIVO";"444479.626";"4469784.488";"ETRS89";40.37679566;-3.65403516;"CALLE";"VIRIDIANA";"13F";"28018";"VIRIDIANA, 000013  F";"20081150";"2013-08-01 00:00:00.0";"C1377";"AE21";"CANINAS";0
"4996575";"Zona canina";"134";"PALOMERAS SURESTE";"13";"PUENTE DE VALLECAS";"OPERATIVO";"446144.796";"4470246.697";"ETRS89";40.38106881;-3.63445952;"CALLE";"TROLE";"9  G";"28031";"TROLE, 000010";"31024478";"2016-08-01 00:00:00.0";"C1376";"AE21";"CANINAS";0
"4996578";"Zona canina";"115";"PUERTA BONITA";"11";"CARABANCHEL";"OPERATIVO";"437473.008";"4469564.676";"ETRS89";40.37431926;-3.73654610;"AVENIDA";"ABRANTES";"305";"28025";"AVDA ABRANTES, 000305";"31045991";"2013-08-01 00:00:00.0";"C1170";"AE21";"CANINAS";0
"4996586";"Zona canina";"024";"LEGAZPI";"02";"ARGANZUELA";"OPERATIVO";"441717.93";"4471138.796";"ETRS89";40.38880746;-3.68668991;"CALLE";"PUERTO DE BEJAR";"7";"28045";;"20000295";"2004-01-01 00:00:00.0";"C0201";"AE21";"CANINAS";0
"4996591";"Zona canina";"025";"DELICIAS";"02";"ARGANZUELA";"OPERATIVO";"441238.494";"4472225.663";"ETRS89";40.39856485;-3.69243861;"CALLE";"TOMAS BRETON";"49 A";"28045";;"11009598";"2004-01-01 00:00:00.0";"C0202";"AE21";"CANINAS";0
"4996597";"Zona canina";"021";"IMPERIAL";"02";"ARGANZUELA";"OPERATIVO";"439076.305";"4472979.876";"ETRS89";40.40520378;-3.71798791;"CALLE";"COBOS DE SEGOVIA";"7";"28005";;"31043490";"2004-01-01 00:00:00.0";"C0203";"AE21";"CANINAS";0
"4996643";"Zona canina";"022";"ACACIAS";"02";"ARGANZUELA";"OPERATIVO";"440150.407";"4472382.519";"ETRS89";40.39990040;-3.70527433;"CALLE";"ARGANDA";"40";"28005";"PARQUE DE LAS PEÑUELAS";"20065135";"2004-01-01 00:00:00.0";"C0204";"AE21";"CANINAS";0
"4996676";"Zona canina";"026";"PALOS DE LA FRONTERA";"02";"ARGANZUELA";"OPERATIVO";"441065.263";"4472680.698";"ETRS89";40.40265180;-3.69452193;"CALLE";"CANARIAS";"19";"28045";"PALOS DE LA FRONTERA";"31009571";"2004-01-01 00:00:00.0";"C0206";"AE21";"CANINAS";0
"4996986";"Zona canina";"031";"PACIFICO";"03";"RETIRO";"OPERATIVO";"441833.672";"4473065.166";"ETRS89";40.40616932;-3.68550230;"PASEO";"INFANTA ISABEL";"2";"28014";;"31000002";"2004-01-01 00:00:00.0";"C0303";"AE21";"CANINAS";0
"4997032";"Zona canina";"036";"NIÑO JESUS";"03";"RETIRO";"OPERATIVO";"442661.099";"4473742.842";"ETRS89";40.41233159;-3.67581261;"CALLE";"ANUNCIACION";"1";"28009";;"20008564";"2004-01-01 00:00:00.0";"C0305";"AE21";"CANINAS";0
